material_number,material_description,material_type,category_code
0000100578,Flotation Cell Rotor Rubber Lined,ERSA,014
0000100579,Filter Cartridge 80mm,ERSA,014
0000100580,Filter Cartridge Polyurethane,ERSA,014
0000100581,Ball Bearing 80mm,ERSA,014
0000100582,Gear Box Polyurethane,ERSA,014
0000100583,Crusher Liner 22220-CCK,ERSA,014
0000100584,Sprocket ST1000,ERSA,014
0000100585,Brake Pad Rubber Lined,ERSA,014
0000100586,Chain Roller Ni-Hard,ERSA,014
0000100587,Filter Cartridge 80mm,ERSA,014
0000100588,Brake Pad DN150,ERSA,014
0000100589,Bolt Hex 100mm,ERSA,014
0000100590,Pump Impeller DN200,ERSA,014
0000100591,Bolt Hex CI,ERSA,014
0000100592,Valve Globe CI,ERSA,014
0000100593,Gear Box Ni-Hard,ERSA,014
0000100594,Gear Box 6205-2RS,ERSA,014
0000100595,Nut Hex DN300,ERSA,014
0000100596,Ball Bearing CI,ERSA,014
0000100597,Seal Kit Chrome,ERSA,014
0000100598,Screen Panel EP500/3,ERSA,014
0000100599,Motor Coupling Chrome,ERSA,014
0000100600,Valve Globe DN200,ERSA,014
0000100601,Grinding Ball Chrome,ERSA,014
0000100602,Filter Cartridge Polyurethane,ERSA,014
0000100603,Conveyor Belt Rubber Lined,ERSA,014
0000100604,Pump Impeller Rubber Lined,ERSA,014
0000100605,Taper Bearing EP500/3,ERSA,014
0000100606,Sprocket 6308-ZZ,ERSA,014
0000100607,Pipe Flange High Chrome,ERSA,014
0000100608,Conveyor Belt 22220-CCK,ERSA,014
0000100609,Gear Box EP800/4,ERSA,014
0000100610,Washer Spring FAG,ERSA,015
0000100611,Grinding Ball NTN,ERSA,015
0000100612,Pipe Flange SS316,ERSA,015
0000100613,Cyclone Liner DN300,ERSA,015
0000100614,Crusher Liner DN300,ERSA,015
0000100615,Flotation Cell Stator EP500/3,ERSA,015
0000100616,Valve Gate SKF,ERSA,015
0000100617,Flotation Cell Rotor 22220-CCK,ERSA,015
0000100618,Conveyor Idler DN200,ERSA,015
0000100619,Nut Hex CS,ERSA,015
0000100620,Pipe Flange 22220-CCK,ERSA,015
0000100621,Nut Hex 6205-2RS,ERSA,015
0000100622,Filter Cartridge CS,ERSA,015
0000100623,Pump Shaft Sleeve 80mm,ERSA,015
0000100624,Pipe Flange Polyurethane,ERSA,015
0000100625,Filter Cartridge CI,ERSA,015
0000100626,Bolt Hex Rubber Lined,ERSA,015
0000100627,Pipe Flange SKF,ERSA,015
0000100628,Motor Coupling 100mm,ERSA,015
0000100629,Roller Bearing Chrome,ERSA,015
0000100630,Clutch Plate Chrome,ERSA,015
0000100631,Motor Coupling Rubber Lined,ERSA,015
0000100632,O-Ring Rubber Lined,ERSA,015
0000100633,Flotation Cell Rotor Ni-Hard,ERSA,015
0000100634,Brake Pad Rubber Lined,ERSA,015
0000100635,Washer Spring SKF,ERSA,015
0000100636,Conveyor Belt 6308-ZZ,ERSA,015
0000100637,Taper Bearing EP500/3,ERSA,015
0000100638,Screen Panel SKF,ERSA,015
0000100639,Pump Impeller DN200,ERSA,015
0000100640,Conveyor Belt 40mm,ERSA,015
0000100641,Flotation Cell Rotor ST1000,ERSA,015
0000100642,Washer Spring CI,ERSA,015
0000100643,Conveyor Idler 60mm,ERSA,015
0000100644,Pump Impeller 100mm,ERSA,015
0000100645,Washer Spring DN300,ERSA,015
0000100646,Taper Bearing Ni-Hard,ERSA,015
0000100647,Pipe Flange DN150,ERSA,015
0000100648,Sprocket 80mm,ERSA,015
0000100649,V-Belt ST1000,ERSA,015
0000100650,Pump Impeller Polyurethane,ERSA,015
0000100651,Pipe Flange CS,ERSA,015
0000100652,Valve Globe 6308-ZZ,ERSA,015
0000100653,Nut Hex DN300,ERSA,015
0000100654,Grinding Ball SKF,ERSA,015
0000100655,Flotation Cell Rotor 22220-CCK,ERSA,015
0000100656,Grinding Rod Rubber Lined,ERSA,015
0000100657,Roller Bearing 6308-ZZ,ERSA,015
0000100658,Valve Gate DN200,ERSA,015
0000100659,Conveyor Belt CI,ERSA,015
0000100660,Grinding Rod 22220-CCK,ERSA,015
0000100661,Grinding Rod CI,ERSA,015
0000100662,Grinding Rod DN200,ERSA,015
0000100663,Valve Gate NTN,ERSA,015
0000100664,Ball Bearing DN300,ERSA,015
0000100665,Conveyor Idler NTN,ERSA,015
0000100666,Filter Cartridge FAG,ERSA,015
0000100667,Pump Shaft Sleeve Polyurethane,ERSA,015
0000100668,Roller Bearing NTN,ERSA,015
0000100669,Ball Bearing ST1000,ERSA,015
0000100670,V-Belt CI,ERSA,015
0000100671,Clutch Plate 6205-2RS,ERSA,015
0000100672,Jaw Plate DN300,ERSA,015
0000100673,Seal Kit NTN,ERSA,015
0000100674,Washer Spring SS316,ERSA,015
0000100675,Pump Shaft Sleeve High Chrome,ERSA,015
0000100676,O-Ring 100mm,ERSA,015
0000100677,Sprocket ST1000,ERSA,015
0000100678,Cyclone Liner CI,ERSA,015
0000100679,Pump Impeller 80mm,ERSA,015
0000100680,Cyclone Liner DN200,ERSA,015
0000100681,Taper Bearing High Chrome,ERSA,015
0000100682,Wear Plate EP500/3,ERSA,015
0000100683,Flotation Cell Rotor Rubber Lined,ERSA,015
0000100684,Roller Bearing 6308-ZZ,ERSA,015
0000100685,Flotation Cell Stator 40mm,ERSA,015
0000100686,Chain Roller Polyurethane,ERSA,015
0000100687,Pump Impeller 100mm,ERSA,015
0000100688,Sprocket 22220-CCK,ERSA,015
0000100689,Gasket Set EP800/4,ERSA,015
0000100690,Conveyor Idler 22220-CCK,ERSA,015
0000100691,Conveyor Belt DN300,ERSA,015
0000100692,Clutch Plate 40mm,ERSA,015
0000100693,Wear Plate EP500/3,ERSA,016
0000100694,Flotation Cell Rotor SS316,ERSA,016
0000100695,Chain Roller SKF,ERSA,016
0000100696,Pump Shaft Sleeve Rubber Lined,ERSA,016
0000100697,Grinding Rod 60mm,ERSA,016
0000100698,Sprocket DN200,ERSA,016
0000100699,Washer Spring EP800/4,ERSA,016
0000100700,Flotation Cell Rotor 40mm,ERSA,016
0000100701,Washer Spring High Chrome,ERSA,016
0000100702,Pump Impeller EP800/4,ERSA,016
0000100703,Chain Roller EP800/4,ERSA,016
0000100704,Filter Cartridge ST1000,ERSA,016
0000100705,Conveyor Idler Polyurethane,ERSA,016
0000100706,Flotation Cell Stator 22220-CCK,ERSA,016
0000100707,Gasket Set 22220-CCK,ERSA,016
0000100708,Gasket Set 60mm,ERSA,016
0000100709,Pump Impeller High Chrome,ERSA,016
0000100710,Pipe Flange NTN,ERSA,016
0000100711,Seal Kit CI,ERSA,016
0000100712,Valve Gate Polyurethane,ERSA,016
0000100713,Pump Shaft Sleeve 60mm,ERSA,016
0000100714,Valve Globe Polyurethane,ERSA,016
0000100715,Chain Roller High Chrome,ERSA,016
0000100716,Seal Kit EP500/3,ERSA,016
0000100717,Brake Pad ST1000,ERSA,016
0000100718,Pump Impeller CI,ERSA,016
0000100719,Cyclone Liner DN150,ERSA,016
0000100720,Conveyor Idler Polyurethane,ERSA,016
0000100721,Flotation Cell Stator DN200,ERSA,016
0000100722,Pump Impeller ST1000,ERSA,016
0000100723,Pipe Flange SKF,ERSA,016
0000100724,Hydraulic Hose CI,ERSA,016
0000100725,Motor Coupling 60mm,ERSA,016
0000100726,Roller Bearing Chrome,ERSA,016
0000100727,Hydraulic Hose 6205-2RS,ERSA,016
0000100728,Jaw Plate DN300,ERSA,016
0000100729,Brake Pad EP800/4,ERSA,016
0000100730,Valve Globe 6205-2RS,ERSA,016
0000100731,Jaw Plate NTN,ERSA,016
0000100732,Nut Hex 22220-CCK,ERSA,016
0000100733,Conveyor Idler High Chrome,ERSA,016
0000100734,Roller Bearing 22220-CCK,ERSA,016
0000100735,Wear Plate DN150,ERSA,016
0000100736,Bolt Hex 60mm,ERSA,016
0000100737,Flotation Cell Rotor EP800/4,ERSA,016
0000100738,Crusher Liner ST1000,ERSA,016
0000100739,Brake Pad High Chrome,ERSA,016
0000100740,Clutch Plate CI,ERSA,016
0000100741,Gasket Set 6308-ZZ,ERSA,016
0000100742,Conveyor Idler FAG,ERSA,016
0000100743,Seal Kit Polyurethane,ERSA,016
0000100744,Gasket Set DN300,ERSA,016
0000100745,Sprocket Polyurethane,ERSA,016
0000100746,Chain Roller 100mm,ERSA,016
0000100747,Sprocket 60mm,ERSA,016
0000100748,Hydraulic Hose DN150,ERSA,016
0000100749,Cyclone Liner SKF,ERSA,016
0000100750,Valve Globe 60mm,ERSA,016
0000100751,Pump Shaft Sleeve EP500/3,ERSA,016
0000100752,Screen Panel SS316,ERSA,016
0000100753,Brake Pad 6308-ZZ,ERSA,016
0000100754,Motor Coupling 40mm,ERSA,016
0000100755,Seal Kit 6205-2RS,ERSA,016
0000100756,Grinding Rod EP500/3,ERSA,016
0000100757,Grinding Rod NTN,ERSA,016
0000100758,Filter Cartridge EP500/3,ERSA,016
0000100759,Clutch Plate SKF,ERSA,016
0000100760,Ball Bearing 100mm,ERSA,016
0000100761,Chain Roller FAG,ERSA,016
0000100762,Conveyor Belt 40mm,ERSA,016
0000100763,Motor Coupling SS316,ERSA,016
0000100764,Valve Globe 22220-CCK,ERSA,016
0000100765,Nut Hex High Chrome,ERSA,016
0000100766,Taper Bearing 60mm,ERSA,016
0000100767,Roller Bearing 80mm,ERSA,016
0000100768,O-Ring EP800/4,ERSA,016
0000100769,Chain Roller CI,ERSA,016
0000100770,Nut Hex Ni-Hard,ERSA,016
0000100771,Washer Spring EP500/3,ERSA,016
0000100772,Nut Hex 6205-2RS,ERSA,017
0000100773,Clutch Plate FAG,ERSA,017
0000100774,Flotation Cell Rotor Ni-Hard,ERSA,017
0000100775,Pipe Flange 22220-CCK,ERSA,017
0000100776,Chain Roller SKF,ERSA,017
0000100777,V-Belt 60mm,ERSA,017
0000100778,Nut Hex SS316,ERSA,017
0000100779,Gasket Set 40mm,ERSA,017
0000100780,Brake Pad High Chrome,ERSA,017
0000100781,Valve Gate DN200,ERSA,017
0000100782,Valve Gate FAG,ERSA,017
0000100783,O-Ring SS316,ERSA,017
0000100784,Pump Shaft Sleeve SS316,ERSA,017
0000100785,Cyclone Liner DN150,ERSA,017
0000100786,Valve Globe ST1000,ERSA,017
0000100787,Conveyor Idler DN200,ERSA,017
0000100788,Pump Impeller NTN,ERSA,017
0000100789,Filter Cartridge DN150,ERSA,017
0000100790,Jaw Plate Chrome,ERSA,017
0000100791,Conveyor Idler Rubber Lined,ERSA,017
0000100792,O-Ring FAG,ERSA,017
0000100793,Screen Panel 80mm,ERSA,017
0000100794,Sprocket Polyurethane,ERSA,017
0000100795,Clutch Plate Rubber Lined,ERSA,017
0000100796,Clutch Plate NTN,ERSA,017
0000100797,Sprocket 22220-CCK,ERSA,017
0000100798,Flotation Cell Stator 80mm,ERSA,017
0000100799,Brake Pad DN300,ERSA,017
0000100800,Seal Kit ST1000,ERSA,017
0000100801,Cyclone Liner 22220-CCK,ERSA,017
0000100802,Brake Pad 80mm,ERSA,017
0000100803,Sprocket 6308-ZZ,ERSA,017
0000100804,Seal Kit ST1000,ERSA,017
0000100805,Gear Box 22220-CCK,ERSA,017
0000100806,Gasket Set Chrome,ERSA,017
0000100807,Cyclone Liner 40mm,ERSA,017
0000100808,Flotation Cell Rotor CI,ERSA,017
0000100809,Taper Bearing 80mm,ERSA,017
0000100810,Grinding Ball EP800/4,ERSA,017
0000100811,Flotation Cell Stator SS316,ERSA,017
0000100812,Conveyor Idler 6308-ZZ,ERSA,017
0000100813,Sprocket SKF,ERSA,017
0000100814,Valve Gate Ni-Hard,ERSA,017
0000100815,Gasket Set SS316,ERSA,017
0000100816,Jaw Plate 6308-ZZ,ERSA,017
0000100817,V-Belt Ni-Hard,ERSA,017
0000100818,Sprocket 80mm,ERSA,017
0000100819,Wear Plate SS316,ERSA,017
0000100820,Crusher Liner ST1000,ERSA,017
0000100821,Pipe Flange EP500/3,ERSA,017
0000100822,Bolt Hex 60mm,ERSA,017
0000100823,Valve Gate Polyurethane,ERSA,017
0000100824,Seal Kit Rubber Lined,ERSA,017
0000100825,Valve Gate 22220-CCK,ERSA,017
0000100826,Valve Gate SKF,ERSA,017
0000100827,Bolt Hex EP500/3,ERSA,017
0000100828,Filter Cartridge High Chrome,ERSA,017
0000100829,Conveyor Idler EP800/4,ERSA,017
0000100830,Gasket Set CI,ERSA,017
0000100831,Conveyor Idler ST1000,ERSA,017
0000100832,Brake Pad Rubber Lined,ERSA,017
0000100833,Nut Hex NTN,ERSA,017
0000100834,Gasket Set EP500/3,ERSA,017
0000100835,Bolt Hex Rubber Lined,ERSA,018
0000100836,Valve Gate NTN,ERSA,018
0000100837,Wear Plate 22220-CCK,ERSA,018
0000100838,Chain Roller SS316,ERSA,018
0000100839,Pipe Flange 6205-2RS,ERSA,018
0000100840,Pipe Flange EP500/3,ERSA,018
0000100841,Jaw Plate DN150,ERSA,018
0000100842,Valve Gate 100mm,ERSA,018
0000100843,Grinding Ball DN200,ERSA,018
0000100844,Conveyor Belt NTN,ERSA,018
0000100845,O-Ring EP500/3,ERSA,018
0000100846,Pump Impeller SS316,ERSA,018
0000100847,Wear Plate 6308-ZZ,ERSA,018
0000100848,Valve Gate Chrome,ERSA,018
0000100849,Conveyor Belt Chrome,ERSA,018
0000100850,Bolt Hex NTN,ERSA,018
0000100851,Crusher Liner FAG,ERSA,018
0000100852,Crusher Liner High Chrome,ERSA,018
0000100853,Sprocket 6308-ZZ,ERSA,018
0000100854,Washer Spring ST1000,ERSA,018
0000100855,V-Belt 80mm,ERSA,018
0000100856,Gear Box High Chrome,ERSA,018
0000100857,Sprocket DN200,ERSA,018
0000100858,V-Belt EP500/3,ERSA,018
0000100859,Flotation Cell Stator DN150,ERSA,018
0000100860,Pipe Flange Polyurethane,ERSA,018
0000100861,Sprocket 80mm,ERSA,018
0000100862,Gear Box 40mm,ERSA,018
0000100863,Cyclone Liner SS316,ERSA,018
0000100864,Washer Spring FAG,ERSA,018
0000100865,Grinding Ball Chrome,ERSA,018
0000100866,Conveyor Belt DN300,ERSA,018
0000100867,Seal Kit Rubber Lined,ERSA,018
0000100868,Flotation Cell Stator ST1000,ERSA,018
0000100869,Pump Impeller Ni-Hard,ERSA,018
0000100870,Wear Plate SKF,ERSA,018
0000100871,Gear Box 22220-CCK,ERSA,018
0000100872,Crusher Liner DN300,ERSA,018
0000100873,Sprocket SS316,ERSA,018
0000100874,Conveyor Idler 60mm,ERSA,018
0000100875,Gasket Set DN200,ERSA,018
0000100876,Sprocket ST1000,ERSA,018
0000100877,Roller Bearing 60mm,ERSA,018
0000100878,Seal Kit 40mm,ERSA,018
0000100879,Cyclone Liner ST1000,ERSA,018
0000100880,V-Belt 40mm,ERSA,018
0000100881,Gasket Set ST1000,ERSA,018
0000100882,Motor Coupling 6205-2RS,ERSA,018
0000100883,Clutch Plate SKF,ERSA,018
0000100884,Valve Gate NTN,ERSA,018
0000100885,Conveyor Belt 6308-ZZ,ERSA,018
0000100886,Gear Box 100mm,ERSA,018
0000100887,Conveyor Belt Ni-Hard,ERSA,018
0000100888,Flotation Cell Stator 80mm,ERSA,018
0000100889,Ball Bearing 22220-CCK,ERSA,018
0000100890,Roller Bearing DN300,ERSA,018
0000100891,Grinding Rod NTN,ERSA,018
0000100892,Wear Plate 60mm,ERSA,018
0000100893,Pump Shaft Sleeve EP500/3,ERSA,018
0000100894,V-Belt EP500/3,ERSA,018
0000100895,Pump Shaft Sleeve 6308-ZZ,ERSA,018
0000100896,V-Belt 60mm,ERSA,018
0000100897,Flotation Cell Rotor 22220-CCK,ERSA,018
0000100898,Pump Shaft Sleeve 100mm,ERSA,018
0000100899,Roller Bearing Rubber Lined,ERSA,018
0000100900,Cyclone Liner CI,ERSA,018
0000100901,V-Belt Ni-Hard,ERSA,018
0000100902,Conveyor Idler EP500/3,ERSA,018
0000100903,Chain Roller 6205-2RS,ERSA,018
0000100904,Valve Globe DN200,ERSA,018
0000100905,Washer Spring FAG,ERSA,018
0000100906,Gasket Set SS316,ERSA,018
0000100907,Pipe Flange 22220-CCK,ERSA,018
0000100908,Wear Plate CS,ERSA,018
0000100909,Cyclone Liner SS316,ERSA,018
0000100910,Roller Bearing 40mm,ERSA,018
0000100911,Flotation Cell Stator 6308-ZZ,ERSA,018
0000100912,Fork Lift 100T,ERSA,019
0000100913,SAG Mill Model B,ERSA,019
0000100914,Jaw Crusher Model B,ERSA,019
0000100915,Electrostatic Precipitator 50 TPH,ERSA,019
0000100916,Cooling Tower Model A,ERSA,019
0000100917,Rotary Kiln 200 TPH,ERSA,019
0000100918,Fork Lift Model A,ERSA,019
0000100919,Flash Smelter Automated,ERSA,019
0000100920,Compressor Screw 10 MW,ERSA,019
0000100921,Rotary Kiln 100 TPH,ERSA,019
0000100922,Drill Rig 200 TPH,ERSA,019
0000100923,Filter Press 5 MW,ERSA,019
0000100924,Ball Mill 5 MW,ERSA,019
0000100925,Ball Mill Model A,ERSA,019
0000100926,Filter Press Heavy Duty,ERSA,019
0000100927,Dump Truck Semi-Auto,ERSA,019
0000100928,Ball Mill 5 MW,ERSA,020
0000100929,Filter Press Model B,ERSA,020
0000100930,Ball Mill Model A,ERSA,020
0000100931,Thickener 50 TPH,ERSA,020
0000100932,Fork Lift Type-II,ERSA,020
0000100933,Dump Truck Automated,ERSA,020
0000100934,Dump Truck Model A,ERSA,020
0000100935,Flash Smelter Semi-Auto,ERSA,020
0000100936,Compressor Screw Model B,ERSA,020
0000100937,Transformer Power 100T,ERSA,020
0000100938,Jaw Crusher Type-II,ERSA,020
0000100939,Jaw Crusher Type-II,ERSA,020
0000100940,Boiler 10 MW,ERSA,020
0000100941,DG Set 200T,ERSA,020
0000100942,Cone Crusher 100 TPH,ERSA,021
0000100943,Overhead Crane 200T,ERSA,021
0000100944,Filter Press Automated,ERSA,021
0000100945,Boiler Type-II,ERSA,021
0000100946,Flash Smelter Automated,ERSA,021
0000100947,Fork Lift Automated,ERSA,021
0000100948,Ball Mill Model B,ERSA,021
0000100949,Boiler Type-II,ERSA,021
0000100950,Thickener 200 TPH,ERSA,021
0000100951,Jaw Crusher Type-I,ERSA,021
0000100952,Fork Lift Heavy Duty,ERSA,021
0000100953,Flash Smelter 500 TPH,ERSA,021
0000100954,Rotary Kiln Automated,ERSA,021
0000100955,Ball Mill 20 MW,ERSA,021
0000100956,Jaw Crusher 50T,ERSA,021
0000100957,Fork Lift Type-I,ERSA,022
0000100958,Cooling Tower 200 TPH,ERSA,022
0000100959,Boiler 20 MW,ERSA,022
0000100960,Drill Rig Model B,ERSA,022
0000100961,Fork Lift Automated,ERSA,022
0000100962,Jaw Crusher 20 MW,ERSA,022
0000100963,Transformer Power Model B,ERSA,022
0000100964,Dump Truck Model A,ERSA,022
0000100965,Thickener 50T,ERSA,022
0000100966,Cone Crusher 500 TPH,ERSA,022
0000100967,Flash Smelter Semi-Auto,ERSA,022
0000100968,Transformer Power Type-I,ERSA,022
0000100969,DG Set 50 TPH,ERSA,022
0000100970,Thickener 100T,ERSA,022
0000100971,Drill Rig 5 MW,ERSA,022
0000100972,Compressor Screw 5 MW,ERSA,023
0000100973,Cone Crusher 20 MW,ERSA,023
0000100974,Jaw Crusher Automated,ERSA,023
0000100975,Flash Smelter Automated,ERSA,023
0000100976,Jaw Crusher Model A,ERSA,023
0000100977,Fork Lift 100 TPH,ERSA,023
0000100978,DG Set 200T,ERSA,023
0000100979,Filter Press 10 MW,ERSA,023
0000100980,Flash Smelter Model B,ERSA,023
0000100981,Transformer Power 50T,ERSA,023
0000100982,Cone Crusher 5 MW,ERSA,023
0000100983,Rotary Kiln 50T,ERSA,023
0000100984,Compressor Screw 500 TPH,ERSA,023
0000100985,Fork Lift Model B,ERSA,023
0000100986,DG Set 20 MW,ERSA,024
0000100987,Boiler 100 TPH,ERSA,024
0000100988,Jaw Crusher 200T,ERSA,024
0000100989,Dump Truck Semi-Auto,ERSA,024
0000100990,Transformer Power Type-II,ERSA,024
0000100991,Excavator 100 TPH,ERSA,024
0000100992,Rotary Kiln Model A,ERSA,024
0000100993,Jaw Crusher Automated,ERSA,024
0000100994,Drill Rig Heavy Duty,ERSA,024
0000100995,Fork Lift 20 MW,ERSA,024
0000100996,DG Set 10 MW,ERSA,024
0000100997,Rotary Kiln Type-II,ERSA,024
0000100998,Transformer Power 200 TPH,ERSA,024
0000100999,Cone Crusher Heavy Duty,ERSA,024
0000101000,Rotary Kiln 200T,ERSA,024
0000101001,Flash Smelter 10 MW,ERSA,024
0000101002,Overhead Crane 50T,ERSA,024
0000101003,Anti-Scalant 95% Purity,ROH,025
0000101004,Sodium Isopropyl Xanthate 95% Purity,ROH,025
0000101005,Zinc Sulphate Liquid,ROH,025
0000101006,Ferric Chloride 95% Purity,ROH,025
0000101007,Pine Oil Liquid,ROH,025
0000101008,Caustic Soda Flakes Granular,ROH,025
0000101009,Ferric Chloride Lab Grade,ROH,025
0000101010,Anti-Scalant Liquid,ROH,025
0000101011,Copper Sulphate Granular,ROH,025
0000101012,Pine Oil Industrial Grade,ROH,025
0000101013,Caustic Soda Lye Granular,ROH,025
0000101014,Potassium Amyl Xanthate Technical Grade,ROH,025
0000101015,Sodium Isopropyl Xanthate Technical Grade,ROH,025
0000101016,Hydrochloric Acid Liquid,ROH,025
0000101017,Zinc Sulphate Pellets,ROH,025
0000101018,Hydrogen Peroxide Granular,ROH,025
0000101019,Sodium Cyanide 30% w/v,ROH,025
0000101020,Ferric Chloride 95% Purity,ROH,025
0000101021,Caustic Soda Flakes 30% w/v,ROH,025
0000101022,Sulphuric Acid Pellets,ROH,025
0000101023,Activated Carbon 95% Purity,ROH,025
0000101024,Flocculant Anionic Lab Grade,ROH,025
0000101025,Potassium Amyl Xanthate Industrial Grade,ROH,025
0000101026,Flocculant Anionic 32% Solution,ROH,025
0000101027,Flocculant Cationic 30% w/v,ROH,025
0000101028,Zinc Sulphate 50% Solution,ROH,025
0000101029,Pine Oil 50% Solution,ROH,025
0000101030,Caustic Soda Lye Briquettes,ROH,025
0000101031,Lime Powder 32% Solution,ROH,025
0000101032,Pine Oil Pellets,ROH,025
0000101033,Lime Powder Powder,ROH,025
0000101034,Caustic Soda Lye 98% Purity,ROH,026
0000101035,Flocculant Anionic Lab Grade,ROH,026
0000101036,Hydrochloric Acid 30% w/v,ROH,026
0000101037,Sulphuric Acid Industrial Grade,ROH,026
0000101038,MIBC Frother Technical Grade,ROH,026
0000101039,Caustic Soda Flakes 32% Solution,ROH,026
0000101040,Hydrogen Peroxide 98% Purity,ROH,026
0000101041,Copper Sulphate 50% Solution,ROH,026
0000101042,Caustic Soda Lye 98% Purity,ROH,026
0000101043,Copper Sulphate 30% w/v,ROH,026
0000101044,Anti-Scalant 30% w/v,ROH,026
0000101045,Flocculant Cationic 95% Purity,ROH,026
0000101046,Flocculant Cationic Technical Grade,ROH,026
0000101047,Sodium Isopropyl Xanthate 32% Solution,ROH,026
0000101048,Anti-Scalant 30% w/v,ROH,026
0000101049,Sulphuric Acid 98% Purity,ROH,026
0000101050,Lime Powder Technical Grade,ROH,026
0000101051,Potassium Amyl Xanthate 95% Purity,ROH,026
0000101052,Flocculant Cationic Granular,ROH,026
0000101053,Flocculant Cationic 95% Purity,ROH,026
0000101054,Ferric Chloride Technical Grade,ROH,026
0000101055,MIBC Frother 32% Solution,ROH,026
0000101056,Pine Oil 95% Purity,ROH,026
0000101057,Activated Carbon 50% Solution,ROH,027
0000101058,Potassium Amyl Xanthate 32% Solution,ROH,027
0000101059,Potassium Amyl Xanthate Granular,ROH,027
0000101060,Ferric Chloride 98% Purity,ROH,027
0000101061,Lime Powder Powder,ROH,027
0000101062,Caustic Soda Flakes Lab Grade,ROH,027
0000101063,Activated Carbon Powder,ROH,027
0000101064,Flocculant Anionic Pellets,ROH,027
0000101065,Ferric Chloride 95% Purity,ROH,027
0000101066,MIBC Frother Industrial Grade,ROH,027
0000101067,MIBC Frother 32% Solution,ROH,027
0000101068,Lime Powder Pellets,ROH,027
0000101069,Caustic Soda Lye Powder,ROH,027
0000101070,Lime Powder Pellets,ROH,027
0000101071,Pine Oil 98% Purity,ROH,027
0000101072,Anti-Scalant 32% Solution,ROH,027
0000101073,Anti-Scalant Technical Grade,ROH,027
0000101074,Potassium Amyl Xanthate Technical Grade,ROH,027
0000101075,Pine Oil Briquettes,ROH,027
0000101076,Caustic Soda Lye Pellets,ROH,027
0000101077,Flocculant Cationic Powder,ROH,027
0000101078,Flocculant Anionic Industrial Grade,ROH,027
0000101079,Anti-Scalant Industrial Grade,ROH,027
0000101080,Caustic Soda Lye Granular,ROH,027
0000101081,Caustic Soda Lye Industrial Grade,ROH,027
0000101082,Activated Carbon Granular,ROH,027
0000101083,Caustic Soda Flakes Granular,ROH,027
0000101084,Caustic Soda Lye Powder,ROH,027
0000101085,Anti-Scalant Powder,ROH,027
0000101086,Flocculant Cationic Briquettes,ROH,027
0000101087,Caustic Soda Flakes 30% w/v,ROH,027
0000101088,Lime Powder 50% Solution,ROH,028
0000101089,MIBC Frother 32% Solution,ROH,028
0000101090,Caustic Soda Flakes Pellets,ROH,028
0000101091,Sodium Cyanide Granular,ROH,028
0000101092,Flocculant Cationic 95% Purity,ROH,028
0000101093,Sulphuric Acid Briquettes,ROH,028
0000101094,Potassium Amyl Xanthate Granular,ROH,028
0000101095,Flocculant Cationic Industrial Grade,ROH,028
0000101096,Anti-Scalant Liquid,ROH,028
0000101097,Activated Carbon Industrial Grade,ROH,028
0000101098,Sulphuric Acid Technical Grade,ROH,028
0000101099,MIBC Frother 98% Purity,ROH,028
0000101100,Sodium Cyanide 30% w/v,ROH,028
0000101101,Caustic Soda Lye 32% Solution,ROH,028
0000101102,Pine Oil 32% Solution,ROH,028
0000101103,Zinc Sulphate 32% Solution,ROH,028
0000101104,Anti-Scalant Pellets,ROH,028
0000101105,Flocculant Cationic Briquettes,ROH,028
0000101106,Potassium Amyl Xanthate Briquettes,ROH,028
0000101107,Pine Oil Powder,ROH,028
0000101108,Ferric Chloride 50% Solution,ROH,029
0000101109,Flocculant Cationic Powder,ROH,029
0000101110,Activated Carbon 50% Solution,ROH,029
0000101111,Copper Sulphate 30% w/v,ROH,029
0000101112,Ferric Chloride 50% Solution,ROH,029
0000101113,Ferric Chloride 50% Solution,ROH,029
0000101114,Hydrochloric Acid Granular,ROH,029
0000101115,Flocculant Cationic 98% Purity,ROH,029
0000101116,Sulphuric Acid 95% Purity,ROH,029
0000101117,Ferric Chloride 95% Purity,ROH,029
0000101118,Sulphuric Acid 95% Purity,ROH,029
0000101119,Caustic Soda Flakes Briquettes,ROH,029
0000101120,Zinc Sulphate Briquettes,ROH,029
0000101121,Flocculant Cationic 50% Solution,ROH,029
0000101122,Flocculant Cationic 50% Solution,ROH,029
0000101123,Ferric Chloride Pellets,ROH,029
0000101124,Hydrochloric Acid 95% Purity,ROH,029
0000101125,MIBC Frother Granular,ROH,029
0000101126,Ferric Chloride 32% Solution,ROH,029
0000101127,Activated Carbon 50% Solution,ROH,029
0000101128,Pine Oil 95% Purity,ROH,029
0000101129,Potassium Amyl Xanthate 95% Purity,ROH,029
0000101130,Sodium Isopropyl Xanthate 50% Solution,ROH,029
0000101131,Flocculant Anionic Liquid,ROH,029
0000101132,Hydrochloric Acid Briquettes,ROH,029
0000101133,Flocculant Cationic 98% Purity,ROH,029
0000101134,Ferric Chloride 95% Purity,ROH,030
0000101135,Ferric Chloride Briquettes,ROH,030
0000101136,Hydrochloric Acid Industrial Grade,ROH,030
0000101137,MIBC Frother Granular,ROH,030
0000101138,Sulphuric Acid 98% Purity,ROH,030
0000101139,Potassium Amyl Xanthate Liquid,ROH,030
0000101140,Anti-Scalant 98% Purity,ROH,030
